179.0 0.25 0.0175 0.7325
180.0 0.2527 0.0177 0.7296
181.0 0.2577 0.0168 0.7255
182.0 0.2626 0.0163 0.7211
183.0 0.2677 0.0158 0.7165
184.0 0.271 0.0164 0.7126
185.0 0.2755 0.0164 0.7081
186.0 0.2791 0.0172 0.7037
187.0 0.2822 0.0168 0.701
188.0 0.2848 0.0175 0.6977
189.0 0.2868 0.0178 0.6954
190.0 0.2905 0.0162 0.6933
191.0 0.2943 0.0158 0.6899
192.0 0.2977 0.0156 0.6867
193.0 0.3003 0.0152 0.6845
194.0 0.3031 0.015 0.6819
195.0 0.3068 0.0163 0.6769
196.0 0.3111 0.0147 0.6742
197.0 0.3139 0.0153 0.6708
198.0 0.3168 0.0155 0.6677
199.0 0.3209 0.0155 0.6636
200.0 0.3255 0.0155 0.659
201.0 0.3273 0.016 0.6567
202.0 0.3297 0.0169 0.6534
203.0 0.333 0.0173 0.6497
204.0 0.3345 0.0181 0.6474
205.0 0.3378 0.0185 0.6437
206.0 0.3407 0.0187 0.6406
207.0 0.3422 0.0199 0.6379
208.0 0.3434 0.021 0.6356
209.0 0.3447 0.0217 0.6336
210.0 0.3452 0.023 0.6318
211.0 0.3442 0.0272 0.6286
212.0 0.342 0.0311 0.6269
213.0 0.3394 0.0362 0.6244
214.0 0.3361 0.041 0.6229
215.0 0.3335 0.0436 0.6229
216.0 0.3315 0.0459 0.6226
217.0 0.3264 0.0502 0.6234
218.0 0.3233 0.0523 0.6244
219.0 0.3185 0.0547 0.6268
220.0 0.3147 0.0578 0.6275
221.0 0.3054 0.0639 0.6307
222.0 0.2994 0.0678 0.6328
223.0 0.2924 0.0715 0.6361
224.0 0.2852 0.0758 0.639
225.0 0.2773 0.0789 0.6438
226.0 0.2697 0.0782 0.6521
227.0 0.2662 0.0787 0.6551
228.0 0.2598 0.0813 0.6589
229.0 0.2561 0.0787 0.6652
230.0 0.2535 0.0772 0.6693
231.0 0.2482 0.0773 0.6745
232.0 0.2445 0.0769 0.6786
233.0 0.2399 0.0782 0.6819
234.0 0.2333 0.079 0.6877
235.0 0.2267 0.0809 0.6924
236.0 0.219 0.0834 0.6976
237.0 0.2095 0.0867 0.7038
238.0 0.2012 0.0905 0.7083
239.0 0.1909 0.0948 0.7143
240.0 0.1804 0.0967 0.7229
241.0 0.1718 0.098 0.7302
242.0 0.163 0.1015 0.7355
243.0 0.1525 0.1052 0.7423
244.0 0.1433 0.1077 0.749
245.0 0.1371 0.106 0.7569
246.0 0.1305 0.1065 0.763
247.0 0.1253 0.1049 0.7698
248.0 0.1195 0.1043 0.7762
249.0 0.1161 0.1012 0.7827
250.0 0.1135 0.0985 0.788
251.0 0.1118 0.096 0.7922
252.0 0.1099 0.0922 0.7979
253.0 0.1089 0.0869 0.8042
254.0 0.1107 0.0832 0.8061
255.0 0.1109 0.081 0.8081
256.0 0.1113 0.0766 0.8121
257.0 0.1117 0.0741 0.8142
258.0 0.1147 0.07 0.8153
259.0 0.1159 0.0664 0.8177
260.0 0.1173 0.0621 0.8206
261.0 0.1191 0.0587 0.8222
262.0 0.123 0.0556 0.8214
263.0 0.1236 0.0539 0.8225
264.0 0.1277 0.0485 0.8238
265.0 0.1314 0.0458 0.8228
266.0 0.1338 0.0446 0.8216
267.0 0.1357 0.0442 0.8201
268.0 0.139 0.0424 0.8186
269.0 0.1427 0.0399 0.8174
270.0 0.1468 0.038 0.8152
271.0 0.1524 0.0362 0.8114
272.0 0.1557 0.036 0.8083
273.0 0.161 0.0347 0.8043
274.0 0.1642 0.0341 0.8017
275.0 0.1687 0.0336 0.7977
276.0 0.1734 0.0327 0.7939
277.0 0.1778 0.0309 0.7913
278.0 0.1803 0.0311 0.7886
279.0 0.1822 0.0313 0.7865
280.0 0.1852 0.0288 0.786
281.0 0.19 0.0282 0.7818
282.0 0.1931 0.0278 0.7791
283.0 0.1966 0.0277 0.7757
284.0 0.1992 0.0277 0.7731
285.0 0.203 0.0271 0.7699
286.0 0.2075 0.0252 0.7673
287.0 0.2107 0.0255 0.7638
288.0 0.2156 0.0243 0.7601
289.0 0.2197 0.0233 0.757
290.0 0.2237 0.0239 0.7524
291.0 0.2273 0.0229 0.7498
292.0 0.233 0.0222 0.7448
293.0 0.2377 0.0221 0.7402
294.0 0.2415 0.0218 0.7367
295.0 0.2458 0.021 0.7332
296.0 0.25 0.0198 0.7302
297.0 0.2539 0.0179 0.7282
298.0 0.2589 0.017 0.7241
299.0 0.2625 0.0155 0.722
300.0 0.2669 0.0144 0.7187
301.0 0.2706 0.015 0.7144
302.0 0.2748 0.0149 0.7103
303.0 0.2796 0.0158 0.7046
304.0 0.2825 0.0156 0.7019
305.0 0.284 0.0175 0.6985
306.0 0.2859 0.0181 0.696
307.0 0.288 0.0201 0.6919
308.0 0.2918 0.0208 0.6874
309.0 0.2931 0.0212 0.6857
310.0 0.2955 0.0223 0.6822
311.0 0.2987 0.0215 0.6798
312.0 0.3019 0.0212 0.6769
313.0 0.3043 0.0218 0.6739
314.0 0.3077 0.0201 0.6722
315.0 0.3076 0.0229 0.6695
316.0 0.3088 0.0264 0.6648
317.0 0.3091 0.0297 0.6612
318.0 0.3096 0.0317 0.6587
319.0 0.3106 0.0317 0.6577
320.0 0.3105 0.0329 0.6566
321.0 0.3123 0.0343 0.6534
322.0 0.3125 0.034 0.6535
323.0 0.3129 0.0332 0.6539
324.0 0.3121 0.0353 0.6526
325.0 0.3113 0.0363 0.6524
326.0 0.3084 0.0376 0.654
327.0 0.3059 0.0396 0.6545
328.0 0.3037 0.0415 0.6548
329.0 0.2997 0.0457 0.6546
330.0 0.2965 0.0486 0.6549
331.0 0.2926 0.051 0.6564
332.0 0.2884 0.053 0.6586
333.0 0.2868 0.0538 0.6594
334.0 0.2829 0.0562 0.6609
335.0 0.2789 0.0596 0.6615
336.0 0.2753 0.0615 0.6632
337.0 0.2722 0.0627 0.6651
338.0 0.2667 0.0669 0.6664
339.0 0.2631 0.0691 0.6678
340.0 0.2556 0.073 0.6714
341.0 0.2445 0.0755 0.68
342.0 0.2364 0.0778 0.6858
343.0 0.2273 0.0838 0.6889
344.0 0.2184 0.0873 0.6943
345.0 0.21 0.0906 0.6994
346.0 0.2041 0.0918 0.7041
347.0 0.1952 0.0948 0.71
348.0 0.1911 0.0937 0.7152
349.0 0.186 0.0942 0.7198
350.0 0.1814 0.0933 0.7253
351.0 0.177 0.0926 0.7304
352.0 0.1695 0.0947 0.7358
353.0 0.1632 0.0971 0.7397
354.0 0.1586 0.0948 0.7466
355.0 0.1539 0.0963 0.7498
356.0 0.1491 0.0975 0.7534
357.0 0.1445 0.0951 0.7604
358.0 0.1421 0.0925 0.7654
359.0 0.1414 0.09 0.7686
360.0 0.14 0.086 0.774
361.0 0.1397 0.0826 0.7777
362.0 0.1412 0.0768 0.782
363.0 0.1399 0.0748 0.7853
364.0 0.1392 0.0741 0.7867
365.0 0.1381 0.0727 0.7892
366.0 0.1372 0.073 0.7898
367.0 0.1333 0.0716 0.7951
368.0 0.1319 0.0725 0.7956
369.0 0.1304 0.072 0.7976
370.0 0.1287 0.0706 0.8007
371.0 0.1278 0.0667 0.8055
372.0 0.1277 0.0655 0.8068
373.0 0.13 0.0627 0.8073
374.0 0.1331 0.0594 0.8075
375.0 0.1361 0.0563 0.8076
376.0 0.1383 0.0545 0.8072
377.0 0.1397 0.0542 0.8061
378.0 0.1401 0.0542 0.8057
379.0 0.1407 0.0521 0.8072
380.0 0.1422 0.0504 0.8074
381.0 0.1442 0.0485 0.8073
382.0 0.1475 0.0461 0.8064
383.0 0.1511 0.0436 0.8053
384.0 0.1555 0.042 0.8025
385.0 0.1591 0.042 0.7989
386.0 0.1609 0.0406 0.7985
387.0 0.1621 0.0393 0.7986
388.0 0.1655 0.0392 0.7953
389.0 0.168 0.0392 0.7928
390.0 0.1681 0.0404 0.7915
391.0 0.172 0.0386 0.7894
392.0 0.1745 0.0379 0.7876
393.0 0.1764 0.0374 0.7862
394.0 0.1787 0.0367 0.7846
395.0 0.1822 0.0351 0.7827
396.0 0.187 0.0332 0.7798
397.0 0.1899 0.0335 0.7766
398.0 0.1926 0.0331 0.7743
399.0 0.1949 0.0334 0.7717
400.0 0.1976 0.0316 0.7708
401.0 0.1997 0.0307 0.7696
402.0 0.2049 0.0296 0.7655
403.0 0.2078 0.0283 0.7639
404.0 0.2112 0.028 0.7608
405.0 0.2155 0.0258 0.7587
406.0 0.2188 0.0244 0.7568
407.0 0.2238 0.024 0.7522
408.0 0.2282 0.0223 0.7495
409.0 0.2325 0.0206 0.7469
410.0 0.2367 0.0193 0.744
411.0 0.2407 0.0193 0.74
412.0 0.2452 0.0187 0.7361
413.0 0.2484 0.018 0.7336
414.0 0.2523 0.0193 0.7284
415.0 0.2558 0.0188 0.7254
